"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1821.19246844484
"FDW14","OUT017",1576.45721620538
"NCN55","OUT010",1874.83051535013
"FDQ58","OUT017",2599.78142584483
"FDY38","OUT027",5186.27530377417
"FDH56","OUT046",1912.02280425619
"FDL48","OUT018",582.510413189832
"FDC48","OUT027",2800.03598064617
"FDN33","OUT045",1496.38618520607
"FDA36","OUT017",3073.54542519131
"FDT44","OUT017",1977.50788189657
"FDQ56","OUT045",1310.25760611188
"NCC54","OUT019",1849.50395156875
"FDU11","OUT049",2000.64321720141
"DRL59","OUT013",879.471625212202
"FDM24","OUT049",2559.50087811193
"FDI57","OUT045",3082.31714631573
"DRC12","OUT018",2765.23913788197
"NCM42","OUT027",3170.71009048671
"FDA46","OUT010",1148.56997480631
"FDA31","OUT013",2807.17732131582
"NCJ31","OUT035",3872.01957480702
"FDG52","OUT046",808.936266948661
"NCL19","OUT019",391.984148563214
"FDS10","OUT035",3025.97299610701
"FDX22","OUT010",1445.0834286999
"NCF19","OUT035",931.990716941721
"NCE06","OUT046",2534.46160660258
"DRC27","OUT046",3847.71214446159
"FDE21","OUT035",2017.25377394348
"NCR42","OUT019",-1317.72150794566
"FDX51","OUT018",2877.76760562702
"NCR06","OUT018",448.698953993603
"FDU31","OUT027",4952.93244259164
"FDU59","OUT017",2706.9268774698
"FDR03","OUT027",4760.93148325809
"FDS49","OUT027",2775.04899489762
"FDD48","OUT010",-82.1215081285505
"NCF18","OUT017",3122.07385651428
"NCD43","OUT027",3097.86796174627
"NCD54","OUT018",2005.14671716918
"FDY19","OUT010",-64.9181962447212
"NCY54","OUT017",2829.28943755626
"NCL19","OUT018",2049.90919927318
"FDP23","OUT010",1516.37661821052
"FDC26","OUT013",1814.78453148101
"FDR14","OUT010",-1031.37756411379
"NCS41","OUT035",3046.89821661778
"FDF41","OUT035",4050.24038726923
"FDU34","OUT046",1973.42317609662
"DRH11","OUT046",900.502602074985
"FDM03","OUT013",1735.12276690939
"FDS31","OUT017",3042.82867973074
"FDJ20","OUT017",2064.15511051658
"FDV44","OUT027",4500.40648520568
"FDG02","OUT049",3110.80317813926
"FDA09","OUT013",2927.82789632605
"FDT04","OUT013",689.51352762706
"FDL58","OUT019",2257.77096345359
"FDE52","OUT045",1454.06072212779
"FDW12","OUT035",2529.9681681282
"FDL51","OUT017",3540.03539792069
"NCY42","OUT027",3705.99336780327
"FDR07","OUT017",1644.07199318485
"FDN40","OUT045",2364.43038115844
"FDB35","OUT027",2969.05480674199
"FDA22","OUT017",2747.88812002435
"NCL06","OUT046",4111.51874935285
"FDI35","OUT013",2932.45080488615
"NCW42","OUT045",3408.34139833507
"NCX06","OUT049",2951.30214870993
"FDC37","OUT027",3192.56784677382
"FDZ14","OUT018",1709.85189235294
"DRG49","OUT049",3940.0007351378
"NCG06","OUT045",3952.68312584858
"DRC36","OUT045",2739.77415859895
"FDV21","OUT019",47.3934113067639
"FDB53","OUT046",2386.06656961873
"DRP47","OUT019",2032.32087984677
"FDA14","OUT013",2375.72763938722
"DRC24","OUT035",2586.8997844463
"FDW21","OUT018",1376.60685493254
"NCH29","OUT046",1530.46098311044
"FDU58","OUT013",3070.75188618296
"FDY27","OUT017",2930.61006335363
"FDV56","OUT035",1941.97481095802
"FDT59","OUT046",3660.75809217419
"FDB23","OUT046",3613.8929231416
"FDR49","OUT045",705.575803220144
"FDB03","OUT010",1911.71913776452
"FDN39","OUT045",2622.51531152848
"FDX02","OUT027",4984.2666322194
"FDQ16","OUT027",3170.30808492236
"FDU35","OUT018",1313.00290058859
"NCT29","OUT013",1950.14665094644
"FDZ27","OUT046",824.064503953225
"FDN57","OUT017",2372.10972572938
"FDA03","OUT018",2114.60910973375
"FDZ36","OUT045",2912.63591795249
"NCU05","OUT013",1346.97650100374
"FDT39","OUT018",2196.49468105973
"FDK60","OUT017",1707.15331310769
"FDZ25","OUT017",2864.07185428688
"FDG12","OUT046",1983.34240018708
"DRB01","OUT019",1109.87413853716
"NCC43","OUT027",5360.2242220646
"FDX13","OUT019",2017.75124520053
"FDM22","OUT049",1026.08099166076
"FDJ03","OUT027",2317.74443122682
"FDU14","OUT018",3668.52198410237
"FDB33","OUT010",648.81982354038
"FDP27","OUT046",3019.08188785136
"FDO38","OUT010",-656.652570403686
"FDE28","OUT027",5146.37009227417
"FDO27","OUT035",1690.77145360612
"DRL23","OUT027",3151.14875497541
"FDS28","OUT046",959.459285864327
"FDX24","OUT013",1544.83848295913
